,prediction
0,22.171232888898945
1,35.557032112448425
2,20.8943970970192
3,20.196098877849728
4,20.026891737656488
5,21.21700868358018
6,30.827641233284332
7,28.814574124166562
8,24.626251387689873
9,12.517372072989716
10,21.66809395419634
11,26.014192631414087
12,20.34518115989973
13,23.266336598822736
14,22.114376694896563
15,13.075543614037691
16,17.13768496804039
17,21.979005462478078
18,27.370819899685493
19,28.019167875250123
20,24.414481766502856
21,34.36001821451674
22,23.942748917671366
23,26.831033209385605
24,33.13236879586303
25,13.131046180576199
26,20.66162225188994
27,17.3953724982214
28,24.905995524685576
29,25.936871335538328
30,25.43031712948033
31,24.819568635461728
32,17.66949657100252
33,13.139044129996012
34,22.140296351904873
35,35.5030290430644
36,16.2308751505123
37,19.89717174582249
38,23.06369596889892
39,20.007358116675636
40,32.84777096089982
41,25.72753470080599
42,30.95015644282926
43,23.70226828526382
44,21.412324936558456
45,13.110493159161088
46,33.15680286824501
47,20.245350728198517
48,-5.210919305281799
49,27.529620524695595
50,25.098589096943087
51,13.965315079748027
52,14.090191675579323
53,27.386046133246666
54,14.21771639199228
55,25.464578470160298
56,17.7420196494664
57,19.33771416653743
58,35.67022047380565
59,26.054151312977595
60,32.5760017623052
61,24.56533259338713
62,31.753666108347247
63,28.137987689785703
64,31.058954764281218
65,24.533188471480493
66,23.371375528044297
67,30.55484543797717
68,32.28276335345459
69,20.873958202867936
70,24.734845824845998
71,19.611254465423038
72,36.94909625405703
73,41.490063893650444
74,23.0520405018938
75,18.454662350800504
76,15.931001820047094
77,36.026833997740006
78,14.712373935607616
79,5.089461362937385
80,10.765022683295278
81,30.209681353836245
82,2.202162498279833
83,26.25917492837628
84,30.304087030891434
85,22.447459190198913
86,-0.43339199825007313
87,13.18002787113653
88,33.632128844584656
89,14.988058347013073
90,17.083335068548656
91,42.66871031984193
92,23.8230795367422
93,22.527835908570466
94,28.80958572029194
95,20.593456617369213
96,12.732716514684196
97,16.768904645838113
98,26.397416011528605
99,24.49422183064042
100,24.935370839925724
101,43.8177361804337
